DEBUG 2025-05-08 14:00:20,649 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\template\backends\base.py first seen with mtime 1743333588.0327108
DEBUG 2025-05-08 14:00:20,649 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\numpy\testing\_private\utils.py first seen with mtime 1743333834.6154902
DEBUG 2025-05-08 14:00:20,649 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\sklearn\svm\_liblinear.cp312-win_amd64.pyd first seen with mtime 1743333962.3181212
DEBUG 2025-05-08 14:00:20,649 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\sklearn\utils\murmurhash.cp312-win_amd64.pyd first seen with mtime 1743333962.6399956
DEBUG 2025-05-08 14:00:20,649 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\websockets\headers.py first seen with mtime 1743334735.1612484
DEBUG 2025-05-08 14:00:20,649 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\PIL\ImageSequence.py first seen with mtime 1743333914.4054189
DEBUG 2025-05-08 14:00:20,650 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1743333580.393795
DEBUG 2025-05-08 14:00:20,650 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\pyparsing\unicode.py first seen with mtime 1743334073.6466057
DEBUG 2025-05-08 14:00:20,650 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\apps\__init__.py first seen with mtime 1743333580.7189562
DEBUG 2025-05-08 14:00:20,650 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\integrate\_quadpack_py.py first seen with mtime 1743333840.5283854
DEBUG 2025-05-08 14:00:20,650 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\sklearn\utils\multiclass.py first seen with mtime 1743333962.6348727
DEBUG 2025-05-08 14:00:20,650 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\httpcore\_sync\http_proxy.py first seen with mtime 1743334735.7408535
DEBUG 2025-05-08 14:00:20,650 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1743333587.6195045
DEBUG 2025-05-08 14:00:20,650 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\cycler\__init__.py first seen with mtime 1743334077.1267793
DEBUG 2025-05-08 14:00:20,650 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\matplotlib\_mathtext.py first seen with mtime 1743334077.6692097
DEBUG 2025-05-08 14:00:20,650 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\db\backends\sqlite3\client.py first seen with mtime 1743333587.7503684
DEBUG 2025-05-08 14:00:20,651 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\mpl_toolkits\mplot3d\art3d.py first seen with mtime 1743334078.126775
DEBUG 2025-05-08 14:00:20,651 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\spatial\__init__.py first seen with mtime 1743333842.290823
DEBUG 2025-05-08 14:00:20,651 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\utils\log.py first seen with mtime 1743333588.1112256
DEBUG 2025-05-08 14:00:20,651 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\sklearn\neighbors\_graph.py first seen with mtime 1743333962.1876297
DEBUG 2025-05-08 14:00:20,651 autoreload File C:\Users\Ayush Kumar\Downloads\Anaconda3\Lib\reprlib.py first seen with mtime 1727748346.0
DEBUG 2025-05-08 14:00:20,651 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\template\__init__.py first seen with mtime 1743333588.0090752
DEBUG 2025-05-08 14:00:20,651 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\colorama\ansi.py first seen with mtime 1743334439.3762097
DEBUG 2025-05-08 14:00:20,651 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\sklearn\linear_model\_cd_fast.cp312-win_amd64.pyd first seen with mtime 1743333961.8179758
DEBUG 2025-05-08 14:00:20,651 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\accounts\models.py first seen with mtime 1737886863.6592703
DEBUG 2025-05-08 14:00:20,652 autoreload File C:\Users\Ayush Kumar\Downloads\Anaconda3\DLLs\_queue.pyd first seen with mtime 1728048491.1105802
DEBUG 2025-05-08 14:00:20,652 autoreload File C:\Users\Ayush Kumar\Downloads\Anaconda3\Lib\concurrent\futures\process.py first seen with mtime 1727748346.0
DEBUG 2025-05-08 14:00:20,652 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\websockets\utils.py first seen with mtime 1743334735.1778944
DEBUG 2025-05-08 14:00:20,652 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\dateutil\_version.py first seen with mtime 1743334077.3836164
DEBUG 2025-05-08 14:00:20,652 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\httpcore\_api.py first seen with mtime 1743334735.7117689
